president,n_docs,first_year,last_year,mean_h
George Washington,8,1790,1796,6.060592577107109
John Adams,4,1797,1800,6.074240392822798
Thomas Jefferson,8,1801,1808,5.964171538756291
James Madison,8,1809,1816,5.893631391379636
James Monroe,8,1817,1824,6.060804558489982
John Quincy Adams,4,1825,1828,6.07116394165342
Andrew Jackson,8,1829,1836,5.987949444001707
Martin Van Buren,4,1837,1840,5.9635897032131915
John Tyler,4,1841,1844,5.927179408377857
James Polk,4,1845,1848,5.914696123423385
Zachary Taylor,1,1849,1849,6.107421524663678
Millard Fillmore,3,1850,1852,6.009681434117621
Franklin Pierce,4,1853,1856,5.9788480402001625
James Buchanan,4,1857,1860,5.797791768714227
Abraham Lincoln,4,1861,1864,5.866998742153992
Andrew Johnson,4,1865,1868,5.947383474021399
Ulysses S. Grant,8,1869,1876,6.023661058168054
Rutherford B. Hayes,4,1877,1880,6.089939671526664
Chester A. Arthur,4,1881,1884,6.01869852588713
Grover Cleveland,8,1885,1896,5.947578790182809
Benjamin Harrison,4,1889,1892,5.980876351965388
William Mckinley,4,1897,1900,6.024052689509744
Theodore Roosevelt,8,1901,1908,5.9323063763659025
William H. Taft,4,1909,1912,6.056461336757042
Woodrow Wilson,8,1913,1920,5.946181105183559
Warren Harding,2,1921,1922,5.857341887582809
Calvin Coolidge,6,1923,1928,5.978430157355041
Herbert Hoover,4,1929,1932,5.918080753470954
Franklin D. Roosevelt,12,1934,1945,5.902816411512636
Harry S. Truman,8,1946,1953,6.096591382943087
Dwight D. Eisenhower,9,1953,1961,6.114885903897772
John F. Kennedy,3,1961,1963,5.992164927771195
Lyndon B. Johnson,6,1964,1969,6.023256053852749
Richard Nixon,5,1970,1974,6.1249696022139055
Gerald R. Ford,3,1975,1977,6.0297620755333865
Jimmy Carter,4,1978,1981,6.022647874025158
Ronald Reagan,7,1982,1988,6.04783604625979
George H.W. Bush,4,1989,1992,6.04828403449929
William J. Clinton,8,1993,2000,6.030703195022346
George W. Bush,9,2001,2008,5.882491041521998
Barack Obama,8,2009,2016,5.984370943751912
Donald J. Trump,3,2017,2019,5.965836444219009
