era,side,word,happiness,freq_per_1000,distinct_score
Founding,happy_distinctive,united,7.32,3.641,0.823
Founding,happy_distinctive,citizens,6.1,1.586,0.721
Founding,happy_distinctive,constitution,6.24,1.09,0.703
Founding,happy_distinctive,treaty,6.22,1.219,0.524
Founding,happy_distinctive,power,6.68,1.453,0.429
Founding,happy_distinctive,country,6.28,2.28,0.387
Founding,happy_distinctive,revenue,6.72,0.801,0.365
Founding,happy_distinctive,received,6.34,0.637,0.309
Founding,happy_distinctive,france,6.32,0.436,0.279
Founding,happy_distinctive,union,6.04,0.967,0.272
Founding,sad_distinctive,last,3.74,1.787,0.413
Founding,sad_distinctive,without,3.54,1.293,0.303
Founding,sad_distinctive,debt,2.9,0.645,0.298
Founding,sad_distinctive,execution,3.1,0.346,0.249
Founding,sad_distinctive,late,3.46,0.352,0.218
Founding,sad_distinctive,difficulties,3.08,0.246,0.106
Founding,sad_distinctive,hostile,3.02,0.162,0.096
Founding,sad_distinctive,injuries,2.68,0.141,0.095
Founding,sad_distinctive,doubt,3.16,0.254,0.094
Founding,sad_distinctive,no,3.48,2.237,0.093
Industrial,happy_distinctive,gold,7.56,0.435,0.308
Industrial,happy_distinctive,islands,6.58,0.407,0.286
Industrial,happy_distinctive,silver,6.38,0.349,0.257
Industrial,happy_distinctive,very,6.12,0.847,0.256
Industrial,happy_distinctive,secure,6.92,0.504,0.222
Industrial,happy_distinctive,land,6.18,0.563,0.217
Industrial,happy_distinctive,large,6.06,0.826,0.216
Industrial,happy_distinctive,certain,6.06,0.538,0.192
Industrial,happy_distinctive,june,6.32,0.484,0.178
Industrial,happy_distinctive,provided,6.18,0.415,0.169
Industrial,sad_distinctive,court,3.78,0.435,0.253
Industrial,sad_distinctive,taxation,3.55,0.185,0.087
Industrial,sad_distinctive,criminal,1.98,0.118,0.061
Industrial,sad_distinctive,battle,2.98,0.134,0.061
Industrial,sad_distinctive,guns,2.98,0.101,0.051
Industrial,sad_distinctive,impossible,2.9,0.165,0.05
Industrial,sad_distinctive,leaving,3.58,0.179,0.042
Industrial,sad_distinctive,evil,1.9,0.145,0.042
Industrial,sad_distinctive,loss,2.56,0.147,0.033
Industrial,sad_distinctive,failure,2.06,0.118,0.021
Broadcast,happy_distinctive,we,6.38,17.341,13.292
Broadcast,happy_distinctive,our,6.08,16.493,8.059
Broadcast,happy_distinctive,will,6.02,8.054,3.081
Broadcast,happy_distinctive,new,6.82,3.433,2.336
Broadcast,happy_distinctive,world,6.52,3.223,2.334
Broadcast,happy_distinctive,america,6.76,2.537,2.233
Broadcast,happy_distinctive,more,6.24,4.125,2.127
Broadcast,happy_distinctive,us,6.26,2.943,2.04
Broadcast,happy_distinctive,you,6.24,2.848,1.762
Broadcast,happy_distinctive,americans,6.5,1.698,1.579
Broadcast,sad_distinctive,tax,2.86,1.277,1.007
Broadcast,sad_distinctive,nuclear,3.28,0.587,0.587
Broadcast,sad_distinctive,down,3.66,0.708,0.552
Broadcast,sad_distinctive,cannot,3.32,0.665,0.497
Broadcast,sad_distinctive,cut,3.42,0.514,0.463
Broadcast,sad_distinctive,inflation,2.64,0.46,0.437
Broadcast,sad_distinctive,weapons,2.4,0.46,0.424
Broadcast,sad_distinctive,problems,2.92,0.593,0.402
Broadcast,sad_distinctive,deficit,3.08,0.427,0.35
Broadcast,sad_distinctive,don't,3.7,0.332,0.332
