condition,pair,observed_diff,ci_lower,ci_upper,n_a,n_b
A baseline (Δh=1 filter),twitter − google,-0.06540619224751065,-0.16482417466234245,0.036957809725886526,2019,1909
A baseline (Δh=1 filter),twitter − nyt,-0.015752695729426947,-0.11379151971291408,0.08466082306278466,2019,1871
A baseline (Δh=1 filter),twitter − lyrics,0.3371280712173821,0.2293700571806454,0.44064038346563167,2019,1999
A baseline (Δh=1 filter),google − nyt,0.049653496518083706,-0.04503315464819706,0.14860085955328772,1909,1871
A baseline (Δh=1 filter),google − lyrics,0.40253426346489274,0.30132689760280895,0.5062688621681178,1909,1999
A baseline (Δh=1 filter),nyt − lyrics,0.35288076694680903,0.2445293394960443,0.46093553751755595,1871,1999
B no neutral filter,twitter − google,-0.06993999999999989,-0.11469720000000035,-0.026869750000000945,5000,5000
B no neutral filter,twitter − nyt,-0.029588000000000392,-0.07307790000000039,0.014620400000000727,5000,5000
B no neutral filter,twitter − lyrics,0.18375400000000042,0.13636339999999952,0.22956659999999984,5000,5000
B no neutral filter,google − nyt,0.0403519999999995,-0.0002099999999991775,0.08234989999999962,5000,5000
B no neutral filter,google − lyrics,0.2536940000000003,0.20889789999999958,0.2973568,5000,5000
B no neutral filter,nyt − lyrics,0.2133420000000008,0.16863044999999965,0.2573407499999993,5000,5000
C broader filter (Δh=0.5),twitter − google,-0.045361451136368025,-0.10599138646184145,0.015788446800122816,3255,3433
C broader filter (Δh=0.5),twitter − nyt,-0.012959140544451131,-0.07698449081853669,0.05265841355601951,3255,3236
C broader filter (Δh=0.5),twitter − lyrics,0.25347394676457835,0.18274370752668587,0.3254402623894717,3255,3139
C broader filter (Δh=0.5),google − nyt,0.032402310591916894,-0.027052718344491057,0.09196666318006347,3433,3236
C broader filter (Δh=0.5),google − lyrics,0.2988353979009464,0.23369999325828267,0.3650292746404634,3433,3139
C broader filter (Δh=0.5),nyt − lyrics,0.2664330873090295,0.19768523659247722,0.33345885572314754,3236,3139
D drop high-SD words (std ≤ 1.5),twitter − google,-0.14072139954772123,-0.27110059185077334,-0.014544321107440686,1228,1269
D drop high-SD words (std ≤ 1.5),twitter − nyt,-0.06972563678111765,-0.19664268969936435,0.06429368024777121,1228,1220
D drop high-SD words (std ≤ 1.5),twitter − lyrics,0.11331512278687406,-0.034330913234088316,0.2591363622757712,1228,1061
D drop high-SD words (std ≤ 1.5),google − nyt,0.07099576276660358,-0.05134834902918231,0.19290212475293536,1269,1220
D drop high-SD words (std ≤ 1.5),google − lyrics,0.2540365223345953,0.11585283966461728,0.39135442295023193,1269,1061
D drop high-SD words (std ≤ 1.5),nyt − lyrics,0.1830407595679917,0.03803974405525295,0.32363934271720185,1220,1061
